questions,answer
 766+89,765 
 75+183,438 
 281+38,265 
002+571,375 
 476+53,709 
 038+82,858 
 03+234,462 
609+573,1281
 37+157,824 
 07+152,321 
 366+22,685 
 464+05,514 
328+948,1672
804+604,814 
115+399,1504
 37+299,1065
464+595,1059
 268+72,889 
 21+138,843 
295+459,1546
261+103,463 
 35+035,583 
 46+908,873 
 41+563,379 
 487+68,870 
  457+0,754 
 912+54,264 
 261+92,191 
  8+338,841 
 698+94,945 
944+617,1165
504+315,918 
 603+05,356 
 686+82,714 
951+021,279 
 56+088,945 
118+757,1568
 65+651,212 
 054+77,527 
  466+8,672 
 65+679,1032
 715+11,528 
 386+82,711 
 06+608,866 
 957+03,789 
 62+019,936 
 72+432,261 
201+833,440 
339+435,1467
 86+121,189 
 846+84,696 
343+124,764 
  161+1,162 
 79+023,417 
  056+1,651 
 53+874,513 
 732+62,263 
 609+72,933 
 657+45,810 
459+155,1505
 34+702,250 
937+925,1268
927+949,1678
 28+919,1001
 712+39,310 
 626+17,697 
648+894,1344
  612+0,216 
 409+39,997 
893+449,1342
635+389,1519
 776+28,759 
 368+22,885 
  19+86,159 
 25+089,1032
 08+413,394 
 59+395,688 
 838+13,869 
 956+04,699 
815+967,1287
369+571,1138
 62+893,424 
 58+327,808 
 281+29,274 
 935+56,604 
 78+718,904 
 86+523,393 
132+896,929 
 97+351,232 
 71+591,212 
143+589,1326
249+665,1508
642+784,733 
 751+03,187 
 61+865,584 
303+011,413 
 92+507,734 
 825+57,603 
  3+777,780 
 74+894,545 
956+909,1568
 48+384,567 
 91+996,718 
466+083,1044
 533+96,404 
  8+692,304 
 991+55,254 
883+196,1079
796+962,966 
286+091,872 
062+835,798 
 68+583,471 
 658+95,915 
624+153,777 
911+748,966 
 212+85,270 
 84+882,336 
 954+85,517 
 184+94,530 
 74+483,431 
075+197,1361
 48+319,997 
427+816,1342
506+252,857 
 33+773,410 
162+534,696 
 963+35,422 
497+398,1687
 13+532,266 
361+161,324 
843+182,629 
 719+04,957 
 85+897,856 
 33+088,913 
324+353,776 
 99+409,1003
  6+185,587 
 309+02,923 
915+098,1409
  52+52,50  
321+681,309 
 886+78,775 
865+542,813 
 998+28,981 
 163+51,376 
 25+785,639 
648+816,1464
166+112,872 
077+439,1704
927+556,1384
 281+97,261 
718+032,1047
 845+48,632 
 796+31,710 
 61+476,690 
 09+975,669 
 585+64,631 
486+055,1234
939+093,1329
422+896,922 
503+166,966 
 84+496,742 
 633+94,385 
607+211,818 
  4+084,484 
 486+76,751 
 69+604,502 
 24+155,593 
 16+428,885 
998+424,1323
 815+68,604 
 039+23,962 
 864+17,539 
186+072,951 
 303+96,372 
328+303,1126
  28+18,163 
  961+5,174 
 57+374,548 
315+254,965 
328+063,1183
 597+17,866 
 913+31,332 
 008+68,886 
 388+25,935 
 75+514,472 
768+854,1325
 83+133,369 
 53+787,822 
235+528,1357
 212+66,278 
235+475,1106
 64+677,822 
 582+32,308 
 363+85,421 
 85+895,656 
283+372,655 
 02+985,609 
 739+78,1024
 955+99,658 
 141+24,183 
 04+342,283 
 25+104,453 
606+364,1069
 39+536,728 
 777+95,836 
 12+711,138 
 14+075,611 
617+408,1520
 376+92,702 
897+993,1197
091+311,303 
751+671,333 
  8+125,529 
 522+19,316 
 41+027,734 
401+004,504 
 14+304,444 
 75+383,440 
 93+115,550 
 762+06,327 
 735+03,567 
278+693,1268
155+711,668 
 92+788,916 
807+716,1325
552+035,785 
 68+124,507 
028+335,1353
 05+896,748 
 637+04,776 
249+359,1895
538+552,1090
 177+63,807 
 049+83,978 
521+158,976 
 028+75,877 
  4+587,789 
594+445,1039
 39+783,480 
 39+591,288 
398+664,1359
 263+14,403 
 859+99,1057
889+699,1984
564+051,615 
 89+539,1033
707+993,1106
199+338,1824
053+679,1326
 668+02,886 
727+055,1277
  23+07,102 
 61+651,172 
 76+419,981 
 49+285,676 
864+663,834 
657+479,1730
 53+015,545 
922+423,553 
 559+89,1053
  7+517,722 
 009+18,981 
871+839,1116
 444+76,511 
 19+777,868 
 002+02,220 
  32+83,61  
 64+989,1035
 64+514,461 
 81+272,290 
 016+09,700 
 695+91,615 
909+439,1843
 49+222,316 
746+565,1212
  527+3,728 
 034+08,510 
 053+25,402 
 674+14,517 
045+878,1418
666+926,1295
304+964,872 
 603+24,348 
249+709,1849
353+639,1289
 68+793,483 
132+225,753 
966+802,877 
858+692,1154
 27+068,932 
382+504,688 
 865+79,665 
 27+625,598 
974+944,928 
 044+24,482 
545+191,736 
 46+804,472 
 51+697,811 
025+389,1503
137+073,1101
 57+036,705 
  829+6,934 
321+248,965 
 144+49,535 
 883+07,458 
 123+66,387 
 796+58,782 
064+622,686 
  6+464,470 
  911+0,119 
492+589,1279
 42+822,252 
442+943,593 
 67+496,770 
 16+722,288 
 41+261,176 
778+476,1551
 116+68,697 
 657+37,829 
 207+45,756 
 652+61,272 
 16+651,217 
 68+215,598 
264+967,1231
 77+476,751 
146+617,1357
 472+81,292 
 28+071,252 
135+482,815 
 45+371,227 
906+496,1303
 293+31,405 
769+904,1376
 44+722,271 
247+964,1211
 349+17,1014
105+082,781 
 33+245,575 
846+993,1047
  6+855,564 
 42+245,566 
 555+25,607 
  419+6,920 
834+423,762 
 83+416,652 
136+426,1255
705+844,955 
417+863,1082
 14+435,575 
 59+962,364 
 966+97,748 
919+821,1047
336+693,1029
427+189,1705
 358+11,864 
045+429,1464
 75+226,679 
 99+058,949 
 176+07,741 
742+914,666 
 69+876,774 
 96+152,320 
 608+92,835 
 76+141,208 
 521+21,137 
056+554,1105
 521+28,207 
715+258,1369
 285+71,599 
807+349,1651
 22+944,471 
 45+995,653 
695+775,1173
 155+55,606 
029+944,1369
 72+425,551 
695+075,1166
 43+708,841 
 27+782,359 
633+539,1271
 19+221,213 
 44+193,435 
 76+496,761 
249+281,1124
  01+38,93  
511+019,1025
 89+597,893 
659+187,1737
 568+71,882 
 804+17,479 
 724+95,486 
954+378,1332
 981+11,200 
573+053,725 
 97+216,691 
403+702,511 
 105+23,533 
 413+76,381 
 03+221,152 
 623+04,366 
 12+772,298 
 33+839,971 
 41+272,286 
841+581,333 
  9+824,437 
 11+842,259 
659+721,1083
 95+726,686 
 503+15,356 
 394+65,549 
846+536,1283
 72+305,530 
496+562,959 
863+623,694 
 49+676,770 
892+743,645 
 96+312,282 
 727+53,762 
 77+203,379 
952+083,639 
 91+544,464 
 451+72,181 
 08+888,968 
 896+44,742 
967+666,1435
  209+2,904 
451+792,451 
 238+16,893 
  652+5,261 
  7+226,629 
 777+18,858 
 577+46,839 
 64+531,181 
604+761,573 
 46+332,297 
 24+644,488 
944+373,822 
 24+966,711 
325+148,1364
 094+45,544 
 87+581,263 
 429+77,1001
949+673,1325
 07+919,989 
 25+595,647 
372+375,846 
054+987,1239
 163+09,451 
 099+89,1088
  279+2,974 
  9+716,626 
234+954,891 
 23+769,999 
 769+37,1040
 351+21,165 
123+239,1253
831+282,420 
654+027,1176
942+506,854 
 64+469,1010
636+272,908 
 128+74,868 
969+298,1861
 579+92,1004
 151+23,183 
025+851,678 
  1+248,843 
 49+429,1018
 96+554,524 
 928+74,876 
616+042,856 
 573+04,415 
 93+761,206 
 949+76,1016
 42+536,659 
 087+82,808 
006+226,1222
 856+05,708 
122+496,915 
 02+571,195 
 63+914,455 
 66+403,370 
384+367,1246
777+724,1204
 11+096,701 
466+939,1603
 197+75,848 
075+654,1026
119+819,1829
 875+37,651 
 07+651,226 
589+974,1464
178+703,1178
 728+23,859 
759+735,1494
  12+23,53  
 05+676,726 
 32+965,592 
 803+38,391 
467+198,1655
  8+154,459 
899+297,1790
 41+421,138 
  26+99,161 
 87+895,676 
 325+01,533 
 52+159,976 
 311+73,150 
726+014,1037
254+208,1254
 076+13,701 
 46+255,616 
  27+58,157 
259+965,1521
276+714,1089
 357+14,794 
  76+52,92  
627+036,1356
 11+327,734 
  08+71,97  
957+391,952 
356+368,1516
895+708,1405
 741+24,189 
 015+06,570 
017+596,1405
964+908,1278
 06+452,314 
434+568,1299
 86+905,577 
 472+47,348 
 168+06,921 
 96+986,758 
  97+59,174 
973+142,620 
  9+911,128 
 103+28,383 
 275+13,603 
733+499,1331
117+808,1519
 63+751,193 
784+769,1454
 58+948,934 
 794+22,519 
 847+55,803 
 809+58,993 
 741+35,200 
 609+05,956 
 56+385,648 
 18+946,730 
 74+342,290 
516+833,953 
302+493,597 
 22+998,921 
346+692,939 
574+251,627 
782+302,490 
 01+463,374 
 04+632,276 
 03+153,381 
424+171,595 
 809+92,937 
 986+27,761 
 402+76,271 
655+227,1278
 614+94,465 
791+711,314 
 15+556,706 
 198+95,950 
 11+281,193 
 17+957,830 
 527+07,795 
  445+7,551 
  94+12,70  
 18+204,483 
  55+09,145 
 08+131,211 
 89+292,390 
832+403,542 
 27+577,847 
 17+539,1006
 04+466,704 
 366+45,717 
 31+307,716 
 124+04,461 
 389+45,1037
 83+904,447 
962+269,1231
 73+101,138 
 108+67,877 
 19+312,304 
 496+79,791 
024+843,768 
588+523,1210
435+256,1186
 91+669,985 
979+246,1621
 83+777,815 
817+053,1068
 118+88,899 
 64+628,872 
 341+72,170 
 38+924,512 
167+185,1342
267+882,1050
352+048,1093
912+749,1166
  759+5,962 
 941+83,187 
 222+62,248 
 225+24,564 
477+448,1618
952+103,560 
981+827,917 
 06+941,209 
123+266,983 
962+885,857 
 92+639,965 
 282+51,297 
028+061,980 
  418+8,822 
 76+497,861 
408+059,1754
173+401,475 
 31+682,299 
 811+15,169 
 772+22,299 
 98+716,706 
 289+04,1022
 058+53,885 
783+916,1006
 611+88,204 
 916+77,696 
  7+306,610 
087+602,986 
 91+312,232 
412+844,662 
 879+13,1009
227+009,1622
 94+635,585 
 571+98,264 
 61+185,597 
455+737,1291
522+588,1110
117+453,1065
  544+9,454 
 53+902,244 
946+001,749 
  419+1,915 
239+003,1232
 33+982,322 
 317+75,770 
 149+13,972 
  5+188,886 
189+971,1160
 41+418,828 
402+352,457 
 109+93,940 
 273+89,470 
 44+726,671 
 443+66,410 
 905+36,572 
328+319,1736
 84+619,964 
602+221,328 
 28+699,1078
836+635,1174
682+587,1071
589+153,1336
904+175,980 
165+777,1338
505+477,1279
 42+672,300 
462+523,589 
  884+8,496 
343+989,1332
 779+45,1031
 57+713,392 
  8+013,318 
 726+38,710 
094+644,936 
 57+726,702 
943+986,1038
 29+733,429 
179+941,1120
 82+193,419 
061+595,755 
 14+403,345 
 64+796,743 
847+648,1594
 519+22,937 
 99+278,971 
 15+747,798 
 66+445,610 
418+797,1611
  47+68,160 
518+684,1301
 43+747,781 
 486+84,732 
 67+534,511 
 44+506,649 
 22+588,907 
 19+785,678 
 631+44,180 
 47+758,931 
 09+038,920 
852+455,812 
209+886,1590
 175+44,615 
 418+26,876 
 25+319,965 
 792+48,381 
 92+967,798 
654+338,1289
 84+565,613 
754+272,729 
 55+913,374 
 95+868,927 
 236+07,702 
 004+16,461 
 122+76,288 
161+139,1092
 33+766,700 
548+232,1077
 49+973,473 
 86+083,448 
 34+652,299 
 189+78,1068
959+232,1191
 33+076,703 
829+684,1414
128+742,1068
478+055,1424
055+326,1173
553+124,776 
079+073,1340
534+511,550 
 96+269,1031
 522+31,238 
 275+96,641 
 296+43,726 
 196+58,776 
606+563,971 
 37+925,602 
  8+138,839 
 18+262,343 
 75+586,742 
622+034,656 
  66+71,83  
 74+464,511 
  5+101,106 
847+012,958 
 276+04,712 
 303+53,338 
 939+38,1022
184+949,1430
872+783,665 
 32+276,695 
 33+852,291 
  76+92,96  
639+686,1622
 786+32,710 
 69+628,922 
471+427,898 
 94+895,647 
 86+878,946 
 88+091,278 
 51+094,505 
 517+74,762 
 318+77,890 
 34+207,745 
 775+88,665 
 353+79,450 
671+145,717 
 98+467,853 
 931+49,233 
 39+615,609 
 523+69,421 
 041+49,234 
516+589,1600
993+409,1303
  2+368,865 
 77+268,939 
 54+584,530 
 166+22,683 
835+015,1048
151+376,824 
 72+112,238 
  53+36,98  
  178+1,872 
 371+63,209 
722+079,1197
 192+26,353 
 151+02,171 
 24+964,511 
 793+23,429 
732+177,1008
 736+59,732 
 247+15,793 
957+766,1426
 876+48,762 
 59+993,494 
 78+602,293 
 46+584,549 
 529+97,1004
 496+95,753 
 888+33,921 
  018+3,813 
 17+484,555 
  27+73,109 
 22+759,979 
 343+07,413 
331+146,774 
 11+335,544 
 56+186,746 
849+588,1833
 454+71,471 
334+858,1291
 269+93,1001
 302+55,258 
214+599,1407
 35+866,721 
 399+81,1011
  9+378,882 
878+278,1750
243+941,491 
 43+065,594 
 414+84,462 
 679+61,992 
 863+93,407 
 48+325,607 
328+633,1159
 836+62,664 
163+051,511 
 109+57,976 
756+619,1573
854+782,745 
 03+569,995 
 155+61,567 
567+198,1656
 07+475,644 
 02+082,300 
 76+108,868 
 68+953,445 
766+686,1353
613+843,664 
661+646,812 
 16+512,276 
 691+11,207 
  721+2,129 
542+313,558 
 53+637,771 
 25+615,568 
847+421,872 
 92+494,523 
 23+792,329 
 577+51,790 
117+182,992 
652+786,943 
834+995,1037
 241+51,157 
 87+911,197 
747+852,1005
 16+268,923 
 63+862,304 
 63+739,973 
 244+64,488 
 953+34,402 
 276+08,752 
  9+257,761 
 066+53,695 
694+907,1205
617+782,1003
 303+69,399 
 105+97,580 
 103+66,367 
 644+74,493 
 548+48,929 
  906+7,616 
385+045,1123
  6+508,811 
 006+55,655 
 18+236,713 
649+872,1224
833+108,1139
  118+7,818 
368+693,1259
 642+18,327 
855+572,833 
 726+71,644 
224+949,1371
589+519,1900
 355+29,645 
905+892,807 
 961+99,268 
734+489,1421
  6+762,273 
 327+41,737 
 977+96,848 
 84+721,175 
 84+487,832 
695+527,1321
 63+348,879 
 11+401,115 
633+278,1208
 58+142,326 
 41+548,859 
153+529,1276
 251+79,249 
 456+07,724 
 84+156,699 
384+755,1040
559+159,1906
 824+52,453 
 957+54,804 
 013+84,358 
 347+85,801 
 355+97,632 
 61+857,774 
 929+12,950 
 457+55,809 
 526+49,719 
 94+022,269 
 952+57,334 
794+207,1199
002+257,952 
543+209,1247
 38+644,529 
 181+93,220 
 99+863,467 
 08+512,295 
 51+461,179 
 12+042,261 
179+917,1690
 46+267,826 
  2+858,860 
318+951,972 
 36+342,306 
 515+94,564 
 123+11,332 
347+276,1415
 801+68,194 
 49+772,371 
 92+323,352 
 903+38,392 
 098+54,935 
 83+546,683 
459+816,1572
 023+69,416 
 432+64,280 
438+642,1080
077+073,1140
134+142,672 
 28+917,801 
847+028,1568
679+242,1218
 452+47,328 
442+262,506 
223+274,794 
 62+702,233 
 21+179,983 
 291+81,210 
405+015,1014
463+959,1323
 93+309,942 
 158+32,874 
 22+854,480 
 34+717,760 
 683+08,466 
 157+34,794 
965+263,931 
758+195,1448
 09+991,289 
 516+41,629 
381+679,1159
725+766,1194
 15+588,936 
 14+192,332 
  36+36,126 
  15+63,87  
 07+129,991 
491+723,521 
 38+105,584 
608+894,1304
 097+17,861 
353+984,842 
 368+18,944 
  981+1,190 
067+759,1717
 61+481,200 
671+988,1065
933+378,1212
 27+766,739 
 77+027,797 
 64+799,1043
 89+057,848 
 976+46,743 
286+685,1268
 81+127,739 
 86+384,551 
 279+46,1036
 341+11,154 
467+501,869 
 189+97,1060
 588+53,920 
678+273,1248
  25+45,106 
 257+36,815 
 442+61,260 
029+245,1462
 46+871,242 
 677+14,817 
 796+41,711 
 36+912,282 
  433+4,338 
887+683,1174
183+684,867 
 142+52,266 
313+072,583 
 64+723,373 
885+254,1040
967+855,1327
942+741,396 
 92+578,904 
673+756,1033
159+735,1488
 68+307,789 
773+827,1105
  8+201,110 
798+982,1186
 54+984,534 
 83+553,393 
787+706,1394
 697+46,860 
 302+16,264 
 73+043,377 
336+523,958 
014+158,1261
 731+88,225 
943+434,783 
617+376,1389
441+314,557 
733+572,612 
354+781,640 
053+237,1082
 879+74,1025
 383+19,474 
 714+07,487 
 79+691,293 
 062+17,331 
 24+779,1019
 19+651,247 
476+577,1449
307+268,1565
695+137,1327
 77+937,816 
 74+858,905 
245+571,717 
 122+12,242 
 432+11,245 
173+712,588 
552+698,1151
 154+46,515 
 193+35,444 
 279+54,1017
 96+567,834 
174+546,1116
109+034,1331
136+517,1346
  7+861,175 
669+752,1223
 232+83,270 
  73+08,117 
964+541,614 
651+399,1149
 16+128,882 
 27+464,536 
098+547,1635
 17+851,229 
358+108,1654
 197+95,850 
319+225,1435
479+415,1488
041+872,418 
 28+355,635 
707+736,1344
 04+805,548 
 923+55,384 
 595+99,694 
274+583,857 
 738+56,902 
 023+82,348 
 21+243,354 
  714+3,420 
  605+8,514 
 42+636,660 
 56+248,907 
273+224,794 
 56+768,932 
 72+742,274 
 611+72,143 
 955+31,572 
006+575,1175
 625+43,560 
 499+35,1047
 509+63,941 
 858+98,947 
468+836,1502
 514+99,514 
 99+874,577 
 67+188,957 
971+532,414 
 47+185,655 
  4+399,997 
 014+11,421 
 358+66,919 
615+044,956 
535+263,897 
 467+56,829 
 16+546,706 
 708+66,873 
 501+15,156 
 49+459,1048
673+135,907 
 36+502,268 
448+403,1148
087+791,977 
 98+101,190 
 918+84,867 
 367+89,861 
 69+012,306 
 42+727,751 
238+886,1520
 91+407,723 
 97+025,599 
532+698,1131
928+899,1827
 269+38,1045
722+948,1076
 561+92,194 
 969+26,1031
551+041,295 
 78+732,324 
 727+34,770 
 36+396,756 
 027+62,746 
562+092,555 
 516+81,633 
775+046,1217
 626+53,661 
 383+29,475 
  1+348,844 
 24+332,275 
 446+94,693 
 15+855,609 
 015+96,579 
753+222,579 
 693+82,424 
497+774,1271
195+132,822 
114+293,803 
 18+933,420 
067+772,1037
 705+85,565 
 27+804,480 
 934+38,522 
 393+21,405 
 15+395,644 
 622+26,288 
 71+041,157 
 09+461,254 
  102+1,202 
 29+906,701 
 78+877,865 
 19+173,462 
 62+133,357 
 14+645,587 
868+464,1332
 533+87,413 
  1+221,123 
 82+003,328 
 75+988,946 
 409+04,944 
 739+23,969 
875+522,803 
 787+46,851 
225+741,669 
382+692,579 
239+754,1389
 76+365,630 
 192+58,376 
 441+32,167 
069+273,1332
 37+642,319 
  35+12,74  
 16+488,945 
764+436,1101
 261+19,253 
 69+446,740 
 866+96,737 
 173+85,429 
 04+139,971 
 07+284,552 
 749+37,1020
979+134,1410
572+042,515 
 12+248,863 
693+802,604 
541+516,760 
 209+09,992 
 503+65,361 
913+846,967 
 221+96,191 
343+549,1288
928+074,1299
 27+526,697 
 77+693,473 
 117+69,807 
777+795,1374
 63+466,700 
 11+521,136 
 753+65,413 
 944+57,524 
332+537,968 
  4+049,944 
942+236,881 
 26+529,987 
663+976,1045
377+549,1718
 21+231,144 
 606+43,640 
057+042,990 
 58+821,213 
 57+723,402 
089+975,1559
 476+79,771 
 296+35,745 
 028+35,873 
039+376,1603
  703+3,310 
 28+481,266 
 067+85,818 
 172+63,307 
 958+87,937 
 606+55,661 
 019+42,934 
 273+42,396 
906+798,1506
 786+51,702 
349+699,1939
 24+162,303 
 68+007,786 
 555+09,645 
415+892,812 
 443+77,421 
 92+953,388 
096+391,883 
 518+19,906 
 081+01,190 
 566+37,738 
 32+625,549 
471+199,1165
 38+823,411 
 626+03,656 
 392+91,312 
 13+355,584 
 743+83,385 
 316+77,690 
 98+988,978 
 512+83,253 
  3+221,125 
904+389,1392
 106+89,699 
 55+822,283 
 412+32,237 
 833+77,415 
  6+426,630 
066+881,848 
 39+763,460 
295+238,1424
 11+228,833 
 67+959,1035
 22+707,729 
  6+834,444 
 754+86,525 
 023+01,330 
 31+186,694 
 86+879,1046
782+476,961 
235+971,711 
 647+07,816 
145+546,1186
 248+36,905 
 17+167,832 
745+231,679 
 235+07,602 
 91+757,776 
 99+796,796 
 55+259,1007
 737+75,794 
095+224,1012
 497+87,872 
 13+206,633 
 99+967,868 
 39+302,296 
602+739,1143
376+242,915 
 353+82,381 
  7+167,768 
389+837,1721
 803+18,389 
323+158,1174
814+305,921 
577+131,906 
789+851,1145
 056+19,741 
 784+86,555 
 357+43,787 
 67+528,901 
 831+44,182 
 299+13,1023
  2+776,679 
 346+24,685 
335+131,664 
 06+206,662 
877+962,1047
 95+013,369 
 83+557,793 
 36+082,343 
394+204,895 
254+543,797 
 21+287,794 
 38+092,373 
 54+931,184 
 43+595,629 
 48+158,935 
373+403,677 
 584+89,583 
 372+88,361 
  122+9,230 
 033+15,381 
801+958,967 
 239+27,1004
 47+708,881 
 327+19,814 
 55+117,766 
 27+893,470 
382+703,590 
675+445,1120
503+351,458 
 77+904,486 
  052+0,250 
  582+8,293 
555+175,1126
 18+312,294 
224+225,944 
 82+675,604 
422+755,781 
 916+89,717 
 58+179,1056
 204+08,482 
 47+619,990 
143+428,1165
 375+31,586 
 063+66,426 
 19+834,529 
476+679,1650
 52+799,1022
 84+379,1021
936+813,957 
439+709,1841
 503+45,359 
727+591,922 
931+834,577 
 351+43,187 
923+688,1215
108+727,1528
 31+985,602 
  1+626,627 
146+954,1100
 445+34,587 
 85+527,783 
 224+55,477 
 01+702,217 
181+358,1034
 269+88,1050
 15+672,327 
 96+223,391 
 902+06,269 
823+735,865 
537+206,1337
 111+91,130 
296+529,1617
 47+513,389 
 535+88,623 
 718+46,881 
 045+83,578 
147+963,1110
803+489,1292
 591+28,277 
 771+78,264 
 215+91,531 
 341+24,185 
363+429,1287
768+263,1229
357+005,1253
 85+051,208 
 824+49,522 
871+524,603 
 28+618,898 
633+292,628 
 344+48,527 
519+674,1391
 02+463,384 
 458+91,873 
501+982,394 
003+851,458 
 69+899,1094
  433+8,342 
756+323,980 
446+719,1561
638+426,1460
  401+4,108 
843+107,1049
 54+504,450 
 47+617,790 
545+432,779 
 661+06,226 
364+032,693 
 26+234,494 
 96+687,855 
  381+9,192 
 211+53,147 
 57+864,543 
  16+03,91  
 01+279,982 
 39+123,414 
  392+8,301 
 81+898,916 
 992+31,312 
 435+56,599 
 91+247,761 
987+922,1018
657+112,967 
 82+089,1008
 84+469,1012
 807+77,785 
767+157,1518
 89+004,498 
 877+98,867 
907+721,836 
  7+038,837 
 694+24,538 
  745+3,550 
 29+342,335 
 638+22,858 
123+755,878 
 622+81,244 
 53+047,775 
 058+98,939 
 893+56,463 
 92+458,883 
 25+008,852 
719+866,1585
219+754,1369
598+355,1448
 048+41,854 
 547+74,792 
567+037,1495
 739+41,951 
  848+8,856 
235+501,637 
 39+285,675 
011+778,987 
956+162,920 
  014+0,410 
  04+14,81  
 197+16,852 
 175+41,585 
 591+36,258 
 93+884,527 
 23+026,652 
 804+52,433 
 432+55,289 
 322+18,304 
 19+689,1077
 826+93,667 
899+109,1899
 79+148,938 
 95+083,439 
 876+14,719 
 194+39,584 
 64+298,938 
 675+08,656 
  5+208,807 
493+823,722 
892+273,670 
 46+743,411 
 414+43,448 
476+174,1145
 07+499,1064
 974+31,492 
066+173,1031
 918+76,886 
955+873,937 
 259+26,1014
003+435,834 
 137+42,755 
 48+259,1036
 24+051,192 
 526+03,655 
865+895,1166
 924+17,500 
 19+322,314 
  309+9,912 
 48+141,225 
 158+93,890 
328+421,947 
 35+184,534 
  266+7,669 
 74+265,609 
  0+657,756 
934+032,669 
 51+541,160 
  845+3,551 
 39+896,791 
 727+17,798 
338+519,1748
 899+23,1030
 22+482,306 
 77+651,233 
059+349,1893
 702+76,274 
702+919,1126
 61+746,663 
086+984,1169
 72+135,558 
 67+424,500 
 49+486,778 
806+969,1577
 69+114,507 
 31+509,918 
 99+119,1010
665+086,1246
  08+13,111 
059+923,1279
 98+676,765 
 098+97,969 
 955+62,585 
  472+3,277 
 66+614,482 
  598+7,902 
 838+11,849 
 74+573,422 
 16+776,738 
 67+582,361 
144+341,584 
 343+91,362 
 048+94,889 
123+664,787 
 28+182,363 
764+823,795 
301+823,431 
065+173,931 
  7+761,174 
577+701,882 
422+987,1013
987+518,1604
266+496,1356
933+691,535 
  6+158,857 
 38+291,275 
 84+691,244 
 45+805,562 
  2+882,290 
 48+947,833 
832+841,386 
786+427,1411
 47+655,630 
  4+686,690 
 424+19,515 
 328+91,842 
 767+58,852 
 19+073,461 
 25+266,714 
838+401,942 
 31+223,335 
472+322,497 
 09+131,221 
126+248,1463
  523+3,328 
 83+364,501 
 973+45,433 
542+906,854 
 04+784,527 
 71+242,259 
 457+06,814 
755+154,1008
 51+052,265 
 841+16,209 
 524+83,463 
  47+87,152 
 68+949,1035
 521+52,150 
192+166,952 
 674+39,569 
 73+687,823 
 674+98,565 
 884+77,565 
 52+793,422 
573+511,490 
 58+752,342 
465+058,1414
802+868,1076
 58+267,847 
474+975,1053
 83+846,686 
 42+659,980 
 94+827,777 
 179+79,1068
663+501,471 
 747+76,814 
 813+31,331 
 83+678,914 
 15+506,656 
377+331,906 
 271+93,211 
 237+74,779 
 67+279,1048
563+359,1318
 11+802,219 
649+874,1424
 55+948,904 
 393+75,450 
972+896,977 
 37+973,452 
 434+21,446 
 487+65,840 
 97+741,226 
 486+69,780 
  21+58,97  
  44+56,109 
  26+55,117 
 646+67,722 
 961+11,180 
 78+003,387 
 992+68,385 
 96+958,928 
 24+036,672 
 567+79,862 
 15+834,489 
 07+756,727 
 063+58,445 
 98+376,762 
309+539,1838
936+718,1456
136+924,1060
182+759,1238
 548+94,894 
 192+93,330 
455+445,1098
 01+505,515 
  9+669,975 
 093+05,440 
 269+48,1046
  901+3,112 
697+789,1783
 28+815,600 
 87+247,820 
 51+871,193 
 38+455,637 
 22+657,778 
 566+17,736 
 15+055,601 
 38+138,914 
 394+74,540 
 744+74,494 
 42+771,201 
 26+119,973 
155+191,742 
702+022,427 
 469+72,991 
 214+36,475 
488+313,1197
739+033,1267
 34+582,328 
234+846,1080
078+155,1421
 93+987,828 
746+125,1168
704+668,1273
989+558,1844
 39+373,466 
 95+972,338 
387+463,1147
591+004,595 
 521+99,224 
646+498,1540
944+347,1192
635+662,802 
723+103,628 
515+948,1364
 335+81,551 
 468+66,930 
 505+75,562 
 71+877,795 
 99+428,923 
052+262,512 
623+884,814 
 51+124,436 
679+303,1279
 354+42,477 
992+258,1151
  4+864,472 
 78+977,866 
 025+64,566 
 48+786,771 
 266+82,690 
 66+132,297 
  79+93,136 
  0+986,689 
879+764,1445
 586+02,705 
152+203,553 
 834+07,508 
052+707,957 
 681+11,197 
941+954,608 
309+909,1812
 16+349,1004
 289+47,1056
  31+87,91  
818+494,1312
 164+98,550 
 246+97,721 
 863+59,463 
 19+519,1006
 55+197,846 
  293+8,400 
794+089,1477
 759+95,1016
125+312,734 
815+553,873 
  134+5,436 
577+252,1027
751+636,793 
627+004,1126
011+881,298 
 528+09,915 
779+632,1213
 807+95,767 
 04+998,939 
476+936,1313
  14+01,51  
 71+782,304 
  1+219,913 
 38+353,436 
819+199,1909
362+896,961 
 803+61,324 
 18+634,517 
 709+48,991 
692+357,1049
 23+059,982 
626+696,1322
 36+934,502 
279+379,1945
161+595,756 
671+013,486 
 299+49,1086
  318+8,821 
 045+78,627 
528+626,1451
 908+95,868 
 959+99,1058
311+543,458 
 49+701,201 
  0+204,402 
818+542,1063
264+655,1018
 21+168,873 
 38+978,962 
343+729,1270
 896+76,765 
 285+04,622 
 04+883,428 
  0+538,835 
 276+11,683 
 742+92,276 
 866+77,745 
118+109,1712
924+761,596 
 62+201,128 
887+212,1000
 16+263,423 
906+632,845 
 12+641,167 
 03+945,579 
 993+94,448 
 95+143,400 
 492+26,356 
307+401,807 
 292+27,364 
 718+99,916 
 974+73,516 
338+325,1356
219+333,1245
411+842,362 
 753+33,390 
 267+78,849 
 623+95,385 
 652+19,347 
304+854,861 
 567+78,852 
 368+67,939 
522+027,945 
 19+153,442 
 95+303,362 
 685+36,649 
  85+17,129 
696+189,1677
 756+64,703 
983+151,540 
912+416,833 
